treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "TUT_Chest_Potions"
CanMerge 1
new subtable "1,1"
object category "I_CONT_WW83_Elixir_Bag_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CONT_WW83_Elixir_Bag_B",1,0,0,0,0,0,0,0
new treasuretable "CONT_WW83_Elixir_Bag_A_TT"
CanMerge 1
new subtable "10,1"
object category "I_OBJ_WW83_Elixir_Of_Greater_Intelligence",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_OBJ_WW83_Elixir_Of_Intelligence",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_OBJ_WW83_Elixir_Of_Lesser_Intelligence",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_OBJ_WW83_Elixir_Of_Greater_Dexterity",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_OBJ_WW83_Elixir_Of_Dexterity",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_OBJ_WW83_Elixir_Of_Lesser_Dexterity",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_OBJ_WW83_Elixir_Of_Greater_Wisdom",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_OBJ_WW83_Elixir_Of_Wisdom",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_OBJ_WW83_Elixir_Of_Lesser_Wisdom",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_OBJ_WW83_Elixir_Of_Greater_Concentration",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_OBJ_WW83_Elixir_Of_Concentration",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_OBJ_WW83_Elixir_Of_Lesser_Concentration",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_OBJ_WW83_Elixir_Of_Smooth_Operator",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_OBJ_WW83_Elixir_Of_Operator",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_OBJ_WW83_Elixir_Of_Lesser_Operator",1,0,0,0,0,0,0,0
new subtable "10,1"
