treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "TUT_Chest_Potions"
CanMerge 1
new subtable "1,1"
object category "I_LOOT_GEN_Backpack_SEL_83_ARMORY",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_LOOT_GEN_Backpack_SEL_83_ARMORY_MoreStuff",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_LOOT_GEN_Backpack_SEL_83_ARMORY_ClericLegendary",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CONT_WW83_Selune_Chest_Small_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CONT_WW83_Chest_Heavy_A",1,0,0,0,0,0,0,0
new treasuretable "CONT_WW83_Selune_Chest_Small_A"
CanMerge 1
new subtable "1,1"
object category "I_MAG_WPN_WW83_CrescentLongbow",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MAG_WPN_WW83_WaningCrescent_Dagger",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MAG_WW83_WaxingCrescent_Scimitar",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_WPN_WW83_Nightsong_Silver_Shield",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MAG_WW83_SeluneGrace_Cloak",1,0,0,0,0,0,0,0
new treasuretable "CONT_WW83_Chest_Heavy_A"
CanMerge 1
new subtable "1,1"
object category "I_ARM_WW83_NewMoon_Boots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_WW83_NewMoon_Gloves",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_WW83_NewMoon_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_WW83_NewMoon_Leather_Chest",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_WPN_WW83_NewMoon_Dagger",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_WW83_Camp_Deva",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MAG_ARM_WW83_Headwear_Circlet_Isobele_A",1,0,0,0,0,0,0,0
new subtable "1,1"
