new entry "WW83_GHOST_WALK"
type "StatusData"
data "StatusType" "POLYMORPHED"
data "DisplayName" "hcdd97619g964eg347ega489g2bd9f1e46647;1"
data "Description" "hd51135d6g14c1gb364g480dg82c3b2a7989b;1"
data "Icon" "Spell_WW83_GhostWalk"
data "SoundLoop" "Spell_Status_GaseuousForm_MO"
data "SoundStop" "Spell_Status_GaseuousForm_MO_Stop"
data "StackId" "GHOST_WALK"
data "Boosts" "Disadvantage(AttackTarget);Advantage(SavingThrow, Strength); Advantage(SavingThrow, Dexterity); Advantage(SavingThrow, Constitution); Attribute(Floating);IgnoreFallDamage();VoicebarkBlock();BlockSpellCast();DialogueBlock();CanShootThrough(true);CanWalkThrough(true);Resistance(Slashing,ResistantToNonMagical);Resistance(Piercing,ResistantToNonMagical);Resistance(Bludgeoning,ResistantToNonMagical);Resistance(Acid,ResistantToNonMagical);Resistance(Thunder,ResistantToNonMagical);Resistance(Necrotic,ResistantToNonMagical);Resistance(Fire,ResistantToNonMagical);Resistance(Lightning,ResistantToNonMagical);Resistance(Cold,ResistantToNonMagical);Resistance(Psychic,ResistantToNonMagical);Resistance(Poison,ResistantToNonMagical);Resistance(Radiant,ResistantToNonMagical);Resistance(Force,ResistantToNonMagical);StatusImmunity(BLEEDING)"
data "Passives" "Ethereal"
data "TemplateID" "1bfcc6e2-73e8-4c31-87a9-b03716d0b6d4"
data "Rules" "9eef2bd2-604f-459a-83b2-3e6b7ce3bfde"
data "StatusGroups" "SG_Polymorph;SG_DropForNonMutingDialog;SG_RemoveOnRespec"
data "ApplyEffect" "6eab4d73-d039-4753-aba9-ff5a949b3eba"
data "StatusEffect" "6eab4d73-d039-4753-aba9-ff5a949b3eba"

